         q Iq_parallel Iq_perpendicular
  0.000369  34.414927 168.683676 
  0.000711 -107.347607  76.028559 
  0.001012 -20.940099  40.974230 
  0.001297  38.552833  38.217220 
  0.001630  56.809242  38.780956 
  0.001939  62.064439  29.501102 
  0.002245  93.553607  35.509690 
  0.002566 132.046728  34.206751 
  0.002872 192.816850  32.611451 
  0.003175 318.712298  34.433732 
  0.003470 704.293375 120.036238 
  0.003771 14708.675624 264.542962 
  0.004096 63941.654873 481.014421 
  0.004410 53756.143268 871.454095 
  0.004708 47112.862363 570.254903 
  0.005020 43815.833346 210.453851 
  0.005320 42302.283923 453.269770 
  0.005633 40184.524400 223.078544 
  0.005941 37130.125213 244.134763 
  0.006237 35091.798663 191.029988 
  0.006555 33973.771105 199.784458 
  0.006860 32969.295304 141.017387 
  0.007155 31825.237828 172.833676 
  0.007454 30436.210337 135.321319 
  0.007768 29229.989553 153.633393 
  0.008091 28645.438879  44.817915 
  0.008394 28048.619123  64.066052 
  0.008691 27581.060402  42.890897 
  0.008994 25405.783083 103.011137 
  0.009298 26149.882172   2.591664 
  0.009613 24977.058581 -15.990294 
  0.009921 24957.677252 -53.075674 
  0.010232 24795.858665 -58.276076 
  0.010542 23760.253773 -61.669496 
  0.010839 23650.900393 -71.764863 
  0.011140 22657.257185 -84.487194 
  0.011442 22650.963403 -109.501021 
  0.011761 21853.075164 -88.285005 
  0.012072 21437.726589 -102.810069 
  0.012362 20471.061557 -111.061142 
  0.012667 19994.401975 -125.327794 
  0.012977 19635.521745 -127.929248 
  0.013291 18871.133348 -127.614342 
  0.013601 18124.928185 -121.469462 
  0.013900 17150.544035 -111.413705 
  0.014201 16623.228738 -120.516011 
  0.014505 15556.162904 -103.773841 
  0.014813 14589.109461 -104.816793 
  0.015119 14062.732963 -109.572794 
  0.015434 13215.575240 -88.172566 
  0.015745 12394.713194 -99.817915 
  0.016044 11486.363756 -83.921302 
  0.016346 10915.725447 -79.661469 
  0.016647 10136.144912 -67.864735 
  0.016960 9481.132879 -59.640082 
  0.017270 8895.643413 -63.566677 
  0.017575 8228.891632 -41.351141 
  0.017879 7549.908267 -42.391009 
  0.018181 6899.007217 -40.091876 
  0.018489 6463.477192 -37.064265 
  0.018799 6001.599704 -29.711366 
  0.019107 5497.710031 -27.559405 
  0.019412 5123.985251 -24.478395 
