         q         I0         I2         I4         I6         I8        I10 
  0.000369  44.286894 -11.793863  -2.893092 -36.594705  52.238938 -12.714113 
  0.000711  52.041109  -0.422807  -5.800914  -8.248125  -3.101323 -21.497611 
  0.001012  47.339045   0.634251   4.162811  -0.537782 -14.328599  -4.619340 
  0.001297  48.350542   4.559020  -1.069713  -0.892953  -3.817179   0.474705 
  0.001630  47.585456  12.501752   0.232707  -1.269422  -0.081337  -3.167820 
  0.001939  52.421323  15.250269  -2.260498   1.899031  -3.371539  -2.317881 
  0.002245  61.015113  22.199194   1.077757  -2.059266  -3.452477   0.289364 
  0.002566  64.240361  32.085375   6.732506   1.370412  -3.429745  -3.259328 
  0.002872  74.610432  49.246295  13.020991  -0.554859  -4.362145  -2.397879 
  0.003175  84.953525  64.496427  27.511022   8.238959  -2.643865  -2.574479 
  0.003470 155.583034  81.952792  87.784653  23.490018  -5.567964   8.808846 
  0.003771 853.503393 1398.200048 1470.352964 1115.360330 533.085098  21.426369 
  0.004096 3546.957075 6587.375819 6517.065359 4735.416653 2113.592501  70.992590 
  0.004410 5367.022639 9273.042468 7387.148659 3400.796801 -127.260429 -1362.665482 
  0.004708 5123.861567 8554.811538 6364.037809 2593.972357 -280.233095 -966.601045 
  0.005020 5071.059633 8121.482885 5401.360720 1912.736005 -149.881984 -414.174227 
  0.005320 4650.653033 7433.675636 5034.292655 2018.079108 182.914146 -459.111493 
  0.005633 4357.287041 6941.032470 4533.468805 1736.236092 276.373515 -151.311182 
  0.005941 3994.987606 6455.814643 4356.910219 1709.363430 168.024578 -267.800054 
  0.006237 3594.966132 5863.263923 4043.039724 1666.782953 252.966386 -173.618926 
  0.006555 3474.624239 5705.771113 3948.595627 1619.789863 233.769951 -198.409314 
  0.006860 3114.415220 5172.956472 3721.727808 1679.694625 363.292130 -94.161582 
  0.007155 3042.569560 5047.175495 3603.186702 1611.682555 350.676451 -124.296797 
  0.007454 2798.658601 4692.795745 3435.716178 1572.464171 362.836341 -71.710730 
  0.007768 2646.125206 4474.938406 3313.570066 1554.321038 368.017869 -105.764334 
  0.008091 2412.576281 4136.158376 3131.636901 1547.861812 453.662251  30.076555 
  0.008394 2368.401296 4054.969293 3073.892288 1525.087796 445.944112  11.761301 
  0.008691 2245.002145 3851.258590 2948.935449 1515.354198 507.739405  69.922565 
  0.008994 2086.595271 3623.305440 2820.452179 1452.447940 422.357940 -48.537750 
  0.009298 1979.772494 3437.154399 2719.790707 1476.178944 563.979429 147.786112 
  0.009613 1877.378549 3267.305693 2592.334228 1408.301770 538.391905 156.944223 
  0.009921 1764.103818 3085.186379 2488.808742 1421.892614 628.046988 242.712836 
  0.010232 1719.792341 3036.450801 2477.446626 1433.691102 631.090451 236.268148 
  0.010542 1627.771685 2878.776808 2367.491970 1382.026601 612.138678 236.981430 
  0.010839 1554.359102 2766.945604 2314.402707 1392.942449 655.327443 271.014622 
  0.011140 1483.030942 2641.964359 2207.542918 1327.872637 629.278796 275.323279 
  0.011442 1414.029998 2530.571451 2146.396352 1331.234090 681.057171 334.159486 
  0.011761 1356.660858 2444.320261 2099.288353 1312.045802 648.640095 289.754721 
  0.012072 1310.511641 2354.655537 2023.168687 1272.986574 659.068992 324.121129 
  0.012362 1220.200700 2206.995953 1908.501949 1221.850472 651.587225 326.967769 
  0.012667 1170.251228 2119.493575 1841.810284 1190.935732 650.586279 345.432896 
  0.012977 1124.773877 2054.115655 1804.096465 1182.811388 649.165799 341.303684 
  0.013291 1079.960503 1959.750560 1719.131086 1127.398344 630.266532 346.550979 
  0.013601 1021.988240 1862.990063 1651.367146 1095.582276 610.872748 330.424471 
  0.013900 968.906030 1764.639567 1563.126516 1039.842709 578.961734 307.704211 
  0.014201 923.683075 1684.810360 1500.969197 1006.241481 569.591861 317.014930 
  0.014505 866.216877 1585.183990 1415.146391 949.223498 530.120602 281.874333 
  0.014813 813.453095 1484.260470 1322.964273 883.638022 495.331262 274.856547 
  0.015119 770.664989 1410.230899 1261.916221 851.520865 487.420013 277.804645 
  0.015434 723.965607 1320.869481 1187.571885 799.366405 462.404041 258.946681 
  0.015745 684.113651 1252.813787 1117.433979 751.017914 423.412393 240.762678 
  0.016044 640.290939 1164.678690 1037.536368 696.977904 392.068459 218.137968 
  0.016346 600.922973 1099.038128 980.671318 660.550175 379.394622 211.525787 
  0.016647 566.719730 1030.391727 918.994157 611.489122 345.207481 192.104731 
  0.016960 531.998871 968.874187 864.327749 574.526263 321.108444 173.316131 
  0.017270 496.492046 903.396178 804.883359 538.100225 302.947507 169.165455 
  0.017575 469.508477 849.934771 756.115921 500.158024 276.424834 141.285015 
  0.017879 434.308480 787.306476 695.734154 458.961214 249.729391 127.320904 
  0.018181 401.678657 727.131314 639.631150 418.674600 223.353899 113.921873 
  0.018489 374.233563 676.788588 595.673765 392.395228 212.652284 108.517159 
  0.018799 354.477258 635.705046 557.687923 360.468999 193.098819  99.665063 
  0.019107 324.189658 582.757605 511.526424 332.196069 176.792485  89.288527 
  0.019412 304.030502 544.387038 475.920821 308.099462 165.130327  83.618406 
  0.019712 281.159937 504.390205 439.186960 281.034933 149.484958  76.331309 
  0.020020 265.233506 474.983931 412.871846 263.475413 136.575782  67.102560 
  0.020326 249.247233 438.156728 380.256029 241.298179 123.986397  61.708662 
  0.020632 230.374806 405.236599 353.105785 221.763849 115.803981  54.220725 
  0.020942 211.512437 378.125553 327.724563 202.846500 103.822586  51.668285 
  0.021247 198.119403 349.295759 302.177104 189.111897  94.905412  47.152623 
  0.021547 183.045436 325.958747 280.799358 173.611801  86.248586  41.401947 
  0.021848 170.893150 298.008588 257.001457 159.648465  78.343624  37.084051 
  0.022158 161.130415 277.243753 238.740835 147.480775  71.777651  32.602803 
  0.022470 147.327139 257.342527 219.942192 135.760650  66.109736  30.860306 
  0.022777 138.701460 239.277673 203.469103 123.167095  59.436175  25.729570 
  0.023081 127.273956 218.866118 187.063141 113.461921  52.948564  23.065395 
  0.023388 117.443488 203.341711 171.106316 104.037554  47.917568  21.467351 
  0.023700 109.809888 188.100318 158.322464  94.351555  45.460028  20.723205 
  0.024002 102.541764 175.389408 144.627138  87.220975  40.232495  18.649796 
  0.024302  94.815553 160.085913 134.544508  78.269539  36.131079  14.814644 
  0.024610  88.052399 147.047818 123.837284  73.678241  33.958898  13.550074 
  0.024916  81.626304 135.543954 113.562486  65.874075  29.190566  13.476701 
  0.025224  76.415922 124.176375 103.705253  59.317524  26.383820  11.477518 
  0.025529  69.314993 115.959237  97.227598  55.295906  24.758635   9.497947 
  0.025833  65.878797 108.225987  89.668311  51.461252  22.399594   9.193216 
  0.026141  60.125011  97.968266  82.435054  45.999904  21.063328   8.182966 
  0.026452  55.674043  90.769027  73.311445  42.656844  19.290650   7.341931 
  0.026757  51.617533  83.372041  67.574175  38.149110  15.734818   5.577034 
  0.027055  47.274544  74.710723  63.157025  34.484413  13.266439   6.087834 
  0.027365  44.357359  69.534119  56.603542  31.604074  13.199154   4.672783 
  0.027677  42.473545  63.724452  51.549897  28.579608  11.384420   3.474667 
  0.027980  37.964311  59.083141  47.035564  26.493842   8.635137   3.376340 
  0.028283  34.189432  53.436046  42.427946  22.946770   9.686463   2.801134 
  0.028589  34.202961  48.677060  38.953111  19.751544   7.734379   2.234856 
  0.028897  29.710422  44.924030  35.134096  18.247128   7.611863   2.613788 
  0.029201  28.073845  40.116727  31.564429  16.905907   6.006201   1.621483 
  0.029502  27.524911  36.970516  28.941569  15.071913   7.065524   1.374254 
  0.029811  24.442543  33.889621  26.682740  14.031981   4.845565   1.378502 
  0.030119  22.790349  30.115442  22.012492  12.812863   5.257315   1.511027 
  0.030426  21.516189  28.319900  21.449899  11.518758   4.701682   0.648051 
  0.030731  20.260682  24.643244  19.722186   9.981695   3.647607   0.363429 
  0.031040  19.067426  21.923371  16.762538   9.037167   2.990287   1.718402 
  0.031350  17.257738  20.622536  15.726086   7.198928   3.654807   0.995217 
  0.031651  16.067305  19.046601  13.453187   8.170136   2.916359   1.623215 
  0.031954  14.506510  17.110350  12.925895   6.571509   1.210456   1.289518 
  0.032260  13.828850  16.206717  11.655854   6.058166   0.743003   0.359772 
  0.032568  13.367714  13.691588   9.560678   5.482151   1.694607   0.314364 
  0.032878  12.452116  12.733776   9.460860   5.259320   1.865111   0.683609 
  0.033180  11.284871  11.759321   7.940992   3.983213   1.943842   0.578013 
  0.033480  12.009178   9.386122   8.559853   2.699864   1.617735   0.534330 
  0.033786  11.328074   8.875885   7.393967   3.818239  -0.050001   1.123738 
  0.034094   8.095873   8.721725   7.048085   3.213757   0.916124   0.077596 
  0.034402   8.762169   7.472530   6.510389   1.916100   1.265266   0.730618 
  0.034708   8.991961   6.938719   5.127339   2.809773   1.285091  -0.243348 
  0.035018   9.618603   5.907390   4.924412   2.219639   2.029230   0.140627 
  0.035329  10.230683   4.789925   4.449045   0.552720   2.706466  -0.059108 
  0.035632   8.668943   3.981374   4.228963   1.845321   1.492053   0.773261 
  0.035935   7.721555   4.989486   3.652635   2.196024   1.257654  -0.165267 
  0.036243   7.325623   4.474732   3.871328   1.925242   0.333308   0.923782 
  0.036549   6.109163   5.288253   2.901790   1.631389   0.613478   0.687272 
  0.036854   7.881344   3.356567   3.531092   1.223372   1.421477  -0.600066 
  0.037152   7.895730   3.554735   3.242204   1.309388   0.912994   0.346018 
  0.037455   7.206293   4.237764   2.752223   2.745931   0.857718   0.185477 
  0.037770   7.896775   3.329828   2.039310   2.189586   1.762484   0.715503 
  0.038078   6.906757   4.105803   2.695060   1.267283   0.835630   0.589142 
  0.038384   5.631210   3.371808   3.043817   1.737861   1.565076   1.123573 
  0.038685   5.244680   2.988431   3.586502   2.365671   1.519544   1.075582 
  0.038988   5.873618   3.594841   3.143396   1.509969   1.034321   0.220299 
  0.039299   6.286239   3.297891   2.597508   1.578858   1.329300   1.254676 
  0.039603   7.612105   3.776431   2.246799   1.552226   1.508577   0.991649 
  0.039909   6.766127   3.301043   3.356926   2.010138   1.656973   1.330484 
  0.040214   7.133200   3.364331   3.537091   1.962139   1.209699   0.351459 
  0.040524   7.555419   3.236289   3.280338   2.281756   1.000404   0.612627 
  0.040835   7.008339   3.676053   2.879189   3.133975   1.918113   1.150321 
  0.041134   6.414176   3.374179   4.539912   1.604583   1.739806   1.430340 
  0.041440   7.413092   3.766000   3.424476   2.442085   1.703580  -0.131813 
  0.041749   7.483848   3.978607   4.000122   2.613756   1.046104   1.683175 
  0.042055   6.745759   4.067576   3.664232   3.129210   1.703743   1.890756 
  0.042360   7.963910   4.397195   3.323937   2.818729   1.730422   1.321483 
  0.042662   7.680587   3.658020   4.533804   3.375303   1.801086   1.135144 
  0.042968   8.656419   4.245900   3.759214   2.963546   1.917669   1.503429 
  0.043276   7.621966   4.429817   5.094336   2.130975   1.891959   1.484713 
  0.043580   7.759180   4.434226   4.873993   3.278228   1.809634   0.438784 
  0.043885   7.576201   4.139100   4.715281   3.624343   2.091734   1.088863 
  0.044192   7.436662   5.021182   3.879059   4.038303   2.164225   0.823221 
  0.044502   6.972556   5.660923   3.955240   3.340776   2.570385   1.182959 
  0.044810   8.501416   5.318835   5.120839   3.145294   2.218954   0.359521 
  0.045111   7.607345   4.954825   5.435106   3.456845   1.596854   0.975803 
  0.045418   7.063500   5.986267   5.113148   3.196864   2.296487   1.409482 
  0.045728   8.523774   5.087987   5.327209   3.446197   2.369379   0.830100 
  0.046034   7.804217   6.266195   4.651965   3.406740   2.424030   0.817664 
  0.046336   7.336211   5.196943   5.542096   3.998935   1.924813   1.229775 
  0.046640   7.412754   6.481405   4.621835   4.072105   2.474004   1.661772 
  0.046945   7.560233   5.410854   5.585872   3.504138   1.651533   1.488863 
  0.047254   7.885485   5.803745   5.588520   3.704658   2.081288   1.618989 
  0.047562   7.062185   6.233456   5.729235   3.340162   2.447007   0.619325 
  0.047866   7.994551   5.748258   5.717238   3.487068   2.160335   1.515014 
  0.048173   8.053385   6.025580   5.945402   3.196050   1.791246   1.966988 
  0.048478   8.055956   5.772434   5.776522   3.385015   2.574601   0.981870 
  0.048779   7.352980   6.190960   5.269361   3.849535   1.601450   1.116811 
  0.049084   7.278698   6.216380   5.430680   2.947713   2.254413   1.264422 
  0.049396   9.343018   5.934867   5.597345   3.075457   1.810133   0.543198 
  0.049707   7.826246   6.097768   5.765937   3.824839   2.038859   1.672509 
