       r/A         g0         g2 
  0.000000   0.003928  -0.000000 
  2.646954   0.003924  -0.000001 
  5.293908   0.003911  -0.000004 
  7.940862   0.003891  -0.000010 
 10.587816   0.003864  -0.000017 
 13.234770   0.003829  -0.000027 
 15.881724   0.003787  -0.000038 
 18.528678   0.003739  -0.000052 
 21.175632   0.003685  -0.000067 
 23.822586   0.003626  -0.000084 
 26.469539   0.003562  -0.000102 
 29.116493   0.003495  -0.000121 
 31.763447   0.003425  -0.000142 
 34.410401   0.003353  -0.000163 
 37.057355   0.003279  -0.000185 
 39.704309   0.003204  -0.000208 
 42.351263   0.003130  -0.000232 
 44.998217   0.003056  -0.000255 
 47.645171   0.002983  -0.000279 
 50.292125   0.002911  -0.000303 
 52.939079   0.002842  -0.000327 
 55.586033   0.002775  -0.000351 
 58.232987   0.002711  -0.000374 
 60.879941   0.002650  -0.000398 
 63.526895   0.002592  -0.000421 
 66.173849   0.002536  -0.000443 
 68.820803   0.002484  -0.000465 
 71.467757   0.002435  -0.000486 
 74.114711   0.002389  -0.000507 
 76.761665   0.002345  -0.000528 
 79.408618   0.002304  -0.000548 
 82.055572   0.002265  -0.000568 
 84.702526   0.002227  -0.000587 
 87.349480   0.002191  -0.000606 
 89.996434   0.002157  -0.000625 
 92.643388   0.002122  -0.000643 
 95.290342   0.002089  -0.000661 
 97.937296   0.002055  -0.000679 
100.584250   0.002021  -0.000697 
103.231204   0.001987  -0.000715 
105.878158   0.001953  -0.000733 
108.525112   0.001917  -0.000751 
111.172066   0.001881  -0.000769 
113.819020   0.001844  -0.000787 
116.465974   0.001806  -0.000805 
119.112928   0.001767  -0.000823 
121.759882   0.001727  -0.000841 
124.406836   0.001686  -0.000859 
127.053790   0.001644  -0.000877 
129.700743   0.001601  -0.000895 
132.347697   0.001559  -0.000913 
134.994651   0.001515  -0.000931 
137.641605   0.001472  -0.000948 
140.288559   0.001429  -0.000965 
142.935513   0.001386  -0.000982 
145.582467   0.001343  -0.000999 
148.229421   0.001301  -0.001014 
150.876375   0.001260  -0.001030 
153.523329   0.001219  -0.001045 
156.170283   0.001179  -0.001059 
158.817237   0.001141  -0.001072 
161.464191   0.001103  -0.001085 
164.111145   0.001067  -0.001096 
166.758099   0.001032  -0.001107 
169.405053   0.000998  -0.001117 
172.052007   0.000965  -0.001126 
174.698961   0.000933  -0.001134 
177.345915   0.000902  -0.001141 
179.992869   0.000873  -0.001147 
182.639822   0.000844  -0.001153 
185.286776   0.000816  -0.001157 
187.933730   0.000789  -0.001160 
190.580684   0.000762  -0.001162 
193.227638   0.000736  -0.001164 
195.874592   0.000711  -0.001165 
198.521546   0.000687  -0.001164 
201.168500   0.000663  -0.001163 
203.815454   0.000639  -0.001161 
206.462408   0.000616  -0.001159 
209.109362   0.000593  -0.001155 
211.756316   0.000570  -0.001151 
214.403270   0.000548  -0.001147 
217.050224   0.000527  -0.001142 
219.697178   0.000506  -0.001136 
222.344132   0.000485  -0.001130 
224.991086   0.000465  -0.001123 
227.638040   0.000446  -0.001116 
230.284994   0.000427  -0.001108 
232.931947   0.000409  -0.001100 
235.578901   0.000391  -0.001092 
238.225855   0.000374  -0.001084 
240.872809   0.000358  -0.001075 
243.519763   0.000343  -0.001066 
246.166717   0.000328  -0.001056 
248.813671   0.000314  -0.001046 
251.460625   0.000301  -0.001037 
254.107579   0.000288  -0.001027 
256.754533   0.000276  -0.001016 
259.401487   0.000265  -0.001006 
262.048441   0.000254  -0.000995 
264.695395   0.000244  -0.000985 
267.342349   0.000234  -0.000974 
269.989303   0.000225  -0.000963 
272.636257   0.000216  -0.000952 
275.283211   0.000208  -0.000941 
277.930165   0.000199  -0.000930 
280.577119   0.000191  -0.000919 
283.224073   0.000184  -0.000907 
285.871026   0.000176  -0.000896 
288.517980   0.000168  -0.000885 
291.164934   0.000161  -0.000873 
293.811888   0.000154  -0.000862 
296.458842   0.000147  -0.000851 
299.105796   0.000140  -0.000839 
301.752750   0.000133  -0.000828 
304.399704   0.000126  -0.000817 
307.046658   0.000120  -0.000806 
309.693612   0.000113  -0.000794 
312.340566   0.000107  -0.000783 
314.987520   0.000101  -0.000772 
317.634474   0.000095  -0.000761 
320.281428   0.000089  -0.000750 
322.928382   0.000084  -0.000739 
325.575336   0.000079  -0.000728 
328.222290   0.000074  -0.000718 
330.869244   0.000070  -0.000707 
333.516198   0.000066  -0.000696 
336.163151   0.000062  -0.000686 
338.810105   0.000058  -0.000676 
341.457059   0.000055  -0.000665 
344.104013   0.000052  -0.000655 
346.750967   0.000049  -0.000645 
349.397921   0.000046  -0.000635 
352.044875   0.000044  -0.000625 
354.691829   0.000042  -0.000616 
357.338783   0.000039  -0.000606 
359.985737   0.000037  -0.000596 
362.632691   0.000035  -0.000587 
365.279645   0.000033  -0.000578 
367.926599   0.000031  -0.000569 
370.573553   0.000029  -0.000560 
373.220507   0.000028  -0.000551 
375.867461   0.000026  -0.000542 
378.514415   0.000024  -0.000534 
381.161369   0.000022  -0.000525 
383.808323   0.000020  -0.000517 
386.455276   0.000018  -0.000509 
389.102230   0.000016  -0.000500 
391.749184   0.000014  -0.000493 
394.396138   0.000012  -0.000485 
397.043092   0.000010  -0.000477 
399.690046   0.000008  -0.000469 
402.337000   0.000006  -0.000462 
404.983954   0.000004  -0.000455 
407.630908   0.000002  -0.000448 
410.277862   0.000001  -0.000441 
412.924816  -0.000001  -0.000434 
415.571770  -0.000002  -0.000427 
418.218724  -0.000004  -0.000420 
420.865678  -0.000005  -0.000414 
423.512632  -0.000006  -0.000407 
426.159586  -0.000007  -0.000401 
428.806540  -0.000008  -0.000395 
431.453494  -0.000009  -0.000389 
434.100448  -0.000009  -0.000383 
436.747402  -0.000010  -0.000377 
439.394355  -0.000011  -0.000371 
442.041309  -0.000011  -0.000365 
444.688263  -0.000012  -0.000360 
447.335217  -0.000012  -0.000355 
449.982171  -0.000013  -0.000349 
452.629125  -0.000013  -0.000344 
455.276079  -0.000014  -0.000339 
457.923033  -0.000014  -0.000334 
460.569987  -0.000015  -0.000329 
463.216941  -0.000016  -0.000325 
465.863895  -0.000017  -0.000320 
468.510849  -0.000017  -0.000315 
471.157803  -0.000018  -0.000311 
473.804757  -0.000019  -0.000307 
476.451711  -0.000020  -0.000302 
479.098665  -0.000021  -0.000298 
481.745619  -0.000022  -0.000294 
484.392573  -0.000023  -0.000290 
487.039527  -0.000024  -0.000286 
489.686480  -0.000025  -0.000282 
492.333434  -0.000026  -0.000279 
494.980388  -0.000027  -0.000275 
497.627342  -0.000028  -0.000271 
500.274296  -0.000028  -0.000268 
502.921250  -0.000029  -0.000265 
505.568204  -0.000030  -0.000261 
508.215158  -0.000030  -0.000258 
510.862112  -0.000031  -0.000255 
513.509066  -0.000031  -0.000251 
516.156020  -0.000032  -0.000248 
518.802974  -0.000032  -0.000245 
521.449928  -0.000033  -0.000242 
524.096882  -0.000033  -0.000239 
526.743836  -0.000033  -0.000236 
529.390790  -0.000034  -0.000233 
532.037744  -0.000034  -0.000231 
534.684698  -0.000034  -0.000228 
537.331652  -0.000035  -0.000225 
539.978606  -0.000035  -0.000223 
542.625559  -0.000035  -0.000220 
545.272513  -0.000036  -0.000217 
547.919467  -0.000036  -0.000215 
550.566421  -0.000037  -0.000212 
553.213375  -0.000037  -0.000210 
555.860329  -0.000038  -0.000208 
558.507283  -0.000038  -0.000205 
561.154237  -0.000039  -0.000203 
563.801191  -0.000039  -0.000201 
566.448145  -0.000040  -0.000199 
569.095099  -0.000041  -0.000197 
571.742053  -0.000041  -0.000195 
574.389007  -0.000042  -0.000193 
577.035961  -0.000042  -0.000191 
579.682915  -0.000043  -0.000189 
582.329869  -0.000043  -0.000187 
584.976823  -0.000044  -0.000185 
587.623777  -0.000044  -0.000183 
590.270731  -0.000044  -0.000181 
592.917684  -0.000045  -0.000179 
595.564638  -0.000045  -0.000177 
598.211592  -0.000045  -0.000175 
600.858546  -0.000045  -0.000173 
603.505500  -0.000045  -0.000172 
606.152454  -0.000046  -0.000170 
608.799408  -0.000046  -0.000168 
611.446362  -0.000046  -0.000166 
614.093316  -0.000046  -0.000165 
616.740270  -0.000046  -0.000163 
619.387224  -0.000046  -0.000161 
622.034178  -0.000046  -0.000159 
624.681132  -0.000046  -0.000158 
627.328086  -0.000046  -0.000156 
629.975040  -0.000046  -0.000155 
632.621994  -0.000047  -0.000153 
635.268948  -0.000047  -0.000151 
637.915902  -0.000047  -0.000150 
640.562856  -0.000047  -0.000148 
643.209810  -0.000048  -0.000147 
645.856763  -0.000048  -0.000145 
648.503717  -0.000048  -0.000143 
651.150671  -0.000048  -0.000142 
653.797625  -0.000049  -0.000140 
656.444579  -0.000049  -0.000139 
659.091533  -0.000049  -0.000137 
661.738487  -0.000049  -0.000136 
664.385441  -0.000050  -0.000135 
667.032395  -0.000050  -0.000133 
669.679349  -0.000050  -0.000132 
672.326303  -0.000050  -0.000130 
674.973257  -0.000050  -0.000129 
677.620211  -0.000050  -0.000127 
680.267165  -0.000050  -0.000126 
682.914119  -0.000050  -0.000124 
685.561073  -0.000050  -0.000123 
688.208027  -0.000050  -0.000122 
690.854981  -0.000050  -0.000120 
693.501935  -0.000049  -0.000119 
696.148888  -0.000049  -0.000117 
698.795842  -0.000049  -0.000116 
701.442796  -0.000049  -0.000115 
704.089750  -0.000049  -0.000113 
706.736704  -0.000049  -0.000112 
709.383658  -0.000048  -0.000111 
712.030612  -0.000048  -0.000109 
714.677566  -0.000048  -0.000108 
717.324520  -0.000048  -0.000107 
719.971474  -0.000048  -0.000105 
722.618428  -0.000048  -0.000104 
725.265382  -0.000048  -0.000103 
727.912336  -0.000048  -0.000101 
730.559290  -0.000048  -0.000100 
733.206244  -0.000048  -0.000099 
735.853198  -0.000047  -0.000098 
738.500152  -0.000047  -0.000096 
741.147106  -0.000047  -0.000095 
743.794060  -0.000047  -0.000094 
746.441014  -0.000047  -0.000093 
749.087967  -0.000047  -0.000091 
751.734921  -0.000047  -0.000090 
754.381875  -0.000047  -0.000089 
757.028829  -0.000047  -0.000088 
759.675783  -0.000046  -0.000086 
762.322737  -0.000046  -0.000085 
764.969691  -0.000046  -0.000084 
767.616645  -0.000046  -0.000083 
770.263599  -0.000045  -0.000082 
772.910553  -0.000045  -0.000080 
775.557507  -0.000045  -0.000079 
778.204461  -0.000044  -0.000078 
780.851415  -0.000044  -0.000077 
783.498369  -0.000044  -0.000076 
786.145323  -0.000043  -0.000074 
788.792277  -0.000043  -0.000073 
791.439231  -0.000042  -0.000072 
794.086185  -0.000042  -0.000071 
796.733139  -0.000042  -0.000070 
799.380092  -0.000041  -0.000069 
802.027046  -0.000041  -0.000068 
804.674000  -0.000041  -0.000066 
807.320954  -0.000041  -0.000065 
809.967908  -0.000040  -0.000064 
812.614862  -0.000040  -0.000063 
815.261816  -0.000040  -0.000062 
817.908770  -0.000040  -0.000061 
820.555724  -0.000040  -0.000060 
823.202678  -0.000039  -0.000059 
825.849632  -0.000039  -0.000058 
828.496586  -0.000039  -0.000057 
831.143540  -0.000039  -0.000056 
833.790494  -0.000039  -0.000055 
836.437448  -0.000038  -0.000054 
839.084402  -0.000038  -0.000053 
841.731356  -0.000038  -0.000052 
844.378310  -0.000037  -0.000051 
847.025264  -0.000037  -0.000050 
849.672218  -0.000037  -0.000049 
852.319171  -0.000036  -0.000048 
854.966125  -0.000036  -0.000047 
857.613079  -0.000035  -0.000046 
860.260033  -0.000035  -0.000045 
862.906987  -0.000035  -0.000044 
865.553941  -0.000034  -0.000043 
868.200895  -0.000034  -0.000042 
870.847849  -0.000033  -0.000041 
873.494803  -0.000033  -0.000040 
876.141757  -0.000032  -0.000039 
878.788711  -0.000032  -0.000039 
881.435665  -0.000032  -0.000038 
884.082619  -0.000031  -0.000037 
886.729573  -0.000031  -0.000036 
889.376527  -0.000031  -0.000035 
892.023481  -0.000030  -0.000034 
894.670435  -0.000030  -0.000033 
897.317389  -0.000030  -0.000033 
899.964343  -0.000029  -0.000032 
902.611296  -0.000029  -0.000031 
905.258250  -0.000029  -0.000030 
907.905204  -0.000028  -0.000029 
910.552158  -0.000028  -0.000029 
913.199112  -0.000028  -0.000028 
915.846066  -0.000028  -0.000027 
918.493020  -0.000027  -0.000026 
921.139974  -0.000027  -0.000026 
923.786928  -0.000027  -0.000025 
926.433882  -0.000026  -0.000024 
929.080836  -0.000026  -0.000023 
931.727790  -0.000026  -0.000023 
934.374744  -0.000025  -0.000022 
937.021698  -0.000025  -0.000021 
939.668652  -0.000025  -0.000020 
942.315606  -0.000024  -0.000020 
944.962560  -0.000024  -0.000019 
947.609514  -0.000023  -0.000018 
950.256468  -0.000023  -0.000018 
952.903422  -0.000023  -0.000017 
955.550375  -0.000022  -0.000016 
958.197329  -0.000022  -0.000016 
960.844283  -0.000022  -0.000015 
963.491237  -0.000021  -0.000014 
966.138191  -0.000021  -0.000014 
968.785145  -0.000020  -0.000013 
971.432099  -0.000020  -0.000012 
974.079053  -0.000020  -0.000012 
976.726007  -0.000020  -0.000011 
979.372961  -0.000019  -0.000011 
982.019915  -0.000019  -0.000010 
984.666869  -0.000019  -0.000009 
987.313823  -0.000018  -0.000009 
989.960777  -0.000018  -0.000008 
992.607731  -0.000018  -0.000008 
995.254685  -0.000018  -0.000007 
997.901639  -0.000017  -0.000007 
1000.548593  -0.000017  -0.000006 
1003.195547  -0.000017  -0.000006 
1005.842500  -0.000017  -0.000005 
1008.489454  -0.000016  -0.000005 
1011.136408  -0.000016  -0.000004 
1013.783362  -0.000016  -0.000004 
1016.430316  -0.000015  -0.000003 
1019.077270  -0.000015  -0.000003 
1021.724224  -0.000015  -0.000002 
1024.371178  -0.000014  -0.000002 
1027.018132  -0.000014  -0.000001 
1029.665086  -0.000014  -0.000001 
1032.312040  -0.000013  -0.000000 
1034.958994  -0.000013   0.000000 
1037.605948  -0.000012   0.000001 
1040.252902  -0.000012   0.000001 
1042.899856  -0.000012   0.000002 
1045.546810  -0.000011   0.000002 
1048.193764  -0.000011   0.000003 
1050.840718  -0.000011   0.000003 
1053.487672  -0.000010   0.000003 
1056.134625  -0.000010   0.000004 
1058.781579  -0.000010   0.000004 
1061.428533  -0.000010   0.000005 
1064.075487  -0.000009   0.000005 
1066.722441  -0.000009   0.000006 
1069.369395  -0.000009   0.000006 
1072.016349  -0.000009   0.000006 
1074.663303  -0.000009   0.000007 
1077.310257  -0.000008   0.000007 
1079.957211  -0.000008   0.000007 
1082.604165  -0.000008   0.000008 
1085.251119  -0.000008   0.000008 
1087.898073  -0.000007   0.000008 
1090.545027  -0.000007   0.000009 
1093.191981  -0.000007   0.000009 
1095.838935  -0.000007   0.000009 
1098.485889  -0.000006   0.000010 
1101.132843  -0.000006   0.000010 
1103.779797  -0.000006   0.000010 
1106.426751  -0.000006   0.000011 
1109.073704  -0.000005   0.000011 
1111.720658  -0.000005   0.000011 
1114.367612  -0.000005   0.000012 
1117.014566  -0.000004   0.000012 
1119.661520  -0.000004   0.000012 
1122.308474  -0.000004   0.000012 
1124.955428  -0.000004   0.000013 
1127.602382  -0.000003   0.000013 
1130.249336  -0.000003   0.000013 
1132.896290  -0.000003   0.000014 
1135.543244  -0.000003   0.000014 
1138.190198  -0.000002   0.000014 
1140.837152  -0.000002   0.000014 
1143.484106  -0.000002   0.000015 
1146.131060  -0.000002   0.000015 
1148.778014  -0.000002   0.000015 
1151.424968  -0.000001   0.000015 
1154.071922  -0.000001   0.000016 
1156.718876  -0.000001   0.000016 
1159.365829  -0.000001   0.000016 
1162.012783  -0.000001   0.000016 
1164.659737  -0.000001   0.000017 
1167.306691  -0.000000   0.000017 
1169.953645  -0.000000   0.000017 
1172.600599  -0.000000   0.000017 
1175.247553   0.000000   0.000017 
1177.894507   0.000000   0.000018 
1180.541461   0.000000   0.000018 
1183.188415   0.000001   0.000018 
1185.835369   0.000001   0.000018 
1188.482323   0.000001   0.000018 
1191.129277   0.000001   0.000018 
1193.776231   0.000002   0.000019 
1196.423185   0.000002   0.000019 
1199.070139   0.000002   0.000019 
1201.717093   0.000002   0.000019 
1204.364047   0.000002   0.000019 
1207.011001   0.000003   0.000019 
1209.657955   0.000003   0.000020 
1212.304908   0.000003   0.000020 
1214.951862   0.000003   0.000020 
1217.598816   0.000003   0.000020 
1220.245770   0.000004   0.000020 
1222.892724   0.000004   0.000020 
1225.539678   0.000004   0.000020 
1228.186632   0.000004   0.000021 
1230.833586   0.000004   0.000021 
1233.480540   0.000004   0.000021 
1236.127494   0.000004   0.000021 
1238.774448   0.000005   0.000021 
1241.421402   0.000005   0.000021 
1244.068356   0.000005   0.000021 
